Repositório,Estrelas,Criado em,Idade em dias,Mediana
freeCodeCamp,410242,2014-12-24T17:49:19Z,"3710 days, 18:20:06.435205",3710
free-programming-books,350766,2013-10-11T06:50:37Z,"4150 days, 5:18:48.435205",3930.0
awesome,347864,2014-07-11T13:42:37Z,"3876 days, 22:26:48.435205",3876
build-your-own-x,337328,2018-05-09T12:03:18Z,"2479 days, 0:06:07.435205",3793.0
public-apis,327981,2016-03-20T23:49:42Z,"3258 days, 12:19:43.435205",3710
coding-interview-university,312113,2016-06-06T02:34:12Z,"3181 days, 9:35:13.435205",3484.0
developer-roadmap,308742,2017-03-15T13:45:52Z,"2898 days, 22:23:33.435205",3258
system-design-primer,289693,2017-02-26T16:15:28Z,"2915 days, 19:53:57.435205",3219.5
996.ICU,270279,2019-03-26T07:31:14Z,"2158 days, 4:38:11.435205",3181
awesome-python,234611,2014-06-27T21:00:06Z,"3890 days, 15:09:19.435205",3219.5
react,232447,2013-05-24T16:15:54Z,"4289 days, 19:53:31.435205",3258
project-based-learning,218259,2017-04-12T05:07:46Z,"2871 days, 7:01:39.435205",3219.5
awesome-selfhosted,217301,2015-06-01T02:33:17Z,"3552 days, 9:36:08.435205",3258
vue,208392,2013-07-29T03:24:51Z,"4224 days, 8:44:34.435205",3405.0
Python,197468,2016-07-16T09:44:01Z,"3141 days, 2:25:24.435205",3258
javascript-algorithms,190164,2018-03-24T07:47:04Z,"2525 days, 4:22:21.435205",3219.5
tensorflow,188120,2015-11-07T01:19:20Z,"3393 days, 10:50:05.435205",3258
linux,188072,2011-09-04T22:48:12Z,"4917 days, 13:21:13.435205",3325.5
You-Dont-Know-JS,181062,2013-11-16T02:37:24Z,"4114 days, 9:32:01.435205",3393
CS-Notes,178942,2018-02-13T14:56:24Z,"2563 days, 21:13:01.435205",3325.5
ohmyzsh,176195,2009-08-28T18:15:37Z,"5654 days, 17:53:48.435205",3393
computer-science,175483,2014-05-04T00:18:39Z,"3945 days, 11:50:46.435205",3472.5
AutoGPT,171696,2023-03-16T09:21:07Z,"707 days, 2:48:18.435205",3393
bootstrap,171428,2011-07-29T21:19:00Z,"4954 days, 14:50:25.435205",3472.5
flutter,168747,2015-03-06T22:54:58Z,"3638 days, 13:14:27.435205",3552
vscode,167563,2015-09-03T20:23:38Z,"3457 days, 15:45:47.435205",3504.5
gitignore,164502,2010-11-08T20:17:14Z,"5217 days, 15:52:11.435205",3552
