Repositório,Estrelas,Pull Requests Aceitos,Mediana
freeCodeCamp,410243,24363,24363
free-programming-books,350768,6787,15575.0
awesome,347868,661,6787
build-your-own-x,337342,140,3724.0
public-apis,327982,1872,1872
coding-interview-university,312116,415,1266.5
developer-roadmap,308746,3337,1872
system-design-primer,289693,199,1266.5
996.ICU,270280,1068,1068
awesome-python,234616,543,864.5
react,232448,11356,1068
project-based-learning,218262,182,864.5
awesome-selfhosted,217305,2393,1068
vue,208392,1136,1102.0
Python,197467,2911,1136
javascript-algorithms,190164,302,1102.0
tensorflow,188121,29158,1136
linux,188072,10,1102.0
You-Dont-Know-JS,181063,367,1068
CS-Notes,178942,374,864.5
ohmyzsh,176195,3289,1068
computer-science,175485,281,864.5
AutoGPT,171696,2585,1068
bootstrap,171429,8844,1102.0
flutter,168747,40879,1136
vscode,167563,31249,1504.0
gitignore,164504,1574,1574
Python-100-Days,161021,13,1355.0
the-book-of-secret-knowledge,158582,122,1136
the-art-of-command-line,154767,317,1102.0
JavaGuide,148203,1135,1135
stable-diffusion-webui,148088,1871,1135.5
javascript,146148,811,1135
transformers,139799,14608,1135.5
awesome-go,138453,3394,1136
youtube-dl,134293,1639,1355.0
next.js,129522,20874,1574
ollama,128017,1996,1606.5
fucking-algorithm,126874,238,1574
go,125962,1,1355.0
30-seconds-of-code,122710,821,1136
tech-interview-handbook,121954,466,1135.5
awesome-chatgpt-prompts,120655,158,1135
react-native,120652,886,1101.5
Microsoft-Activation-Scripts,119790,6,1068
scrcpy,117841,109,977.0
electron,115534,21529,1068
PowerToys,114949,5078,1101.5
kubernetes,113215,60714,1135
free-programming-books-zh_CN,112673,282,1101.5
d3,109844,491,1068
node,109739,9752,1101.5
hello-algo,109169,900,1068
axios,106353,935,1001.5
three.js,104413,13699,1068
create-react-app,103105,1949,1101.5
TypeScript,102276,14538,1135
nodebestpractices,101821,765,1101.5
deno,101809,12353,1135
rust,101389,61286,1135.5
langchain,101034,13190,1136
yt-dlp,101033,2513,1355.0
HelloGitHub,98676,17,1136
terminal,97095,4023,1355.0
angular,96984,3698,1574
material-ui,94817,19889,1606.5
godot,94123,36259,1639
ant-design,93748,14985,1755.0
excalidraw,92734,3558,1871
clean-code-javascript,92489,149,1755.0
free-for-dev,92361,2645,1871
papers-we-love,90967,434,1755.0
java-design-patterns,90780,1456,1639
frp,90638,654,1606.5
iptv,90362,6491,1639
thefuck,90118,481,1606.5
puppeteer,89771,5143,1639
tauri,89628,4800,1755.0
Awesome-Hacking,89087,34,1639
vue-element-admin,88719,311,1606.5
pytorch,87051,6000,1639
DeepSeek-V3,86750,17,1606.5
neovim,86328,14602,1639
every-programmer-should-know,86218,99,1606.5
storybook,85890,10743,1639
tailwindcss,85790,2737,1755.0
Web-Dev-For-Beginners,85085,497,1639
rustdesk,82436,3328,1755.0
django,82397,9535,1871
nvm,82351,725,1755.0
app-ideas,82217,149,1639
bitcoin,82087,14915,1755.0
svelte,81461,5469,1871
animate.css,81329,315,1755.0
ui,81254,473,1639
realworld,81220,433,1606.5
fastapi,81125,2552,1639
NextChat,81048,869,1606.5
opencv,80660,12721,1639
gin,80393,1046,1606.5
awesome-mac,79760,946,1574
laravel,79674,1607,1590.5
mall,79137,1,1574
DeepSeek-R1,78915,7,1515.0
FiraCode,78189,136,1456
hugo,78154,2781,1515.0
supabase,77712,11151,1574
models,77391,2337,1590.5
advanced-java,77042,86,1574
open-webui,76886,1699,1590.5
core,76643,69721,1607
whisper,76636,110,1590.5
bun,76319,4684,1607
spring-boot,76214,42,1590.5
mermaid,75921,2260,1607
LeetCodeAnimation,75704,63,1590.5
v2rayN,75289,196,1574
manim,75127,624,1515.0
llama.cpp,74835,4093,1574
Font-Awesome,74672,209,1515.0
json-server,73664,121,1456
netdata,73538,9977,1515.0
awesome-interview-questions,73269,176,1456
awesome-vue,72584,3544,1515.0
gpt4all,72541,931,1456
awesome-for-beginners,71745,431,1296.0
elasticsearch,71678,73438,1456
