Repositório,Estrelas,Total de Releases,Mediana
freeCodeCamp,410251,0,0
free-programming-books,350790,0,0.0
awesome,347929,0,0
build-your-own-x,337535,0,0.0
public-apis,328007,0,0
coding-interview-university,312127,0,0.0
developer-roadmap,308765,1,0
system-design-primer,289726,0,0.0
996.ICU,270281,0,0
awesome-python,234653,0,0.0
react,232463,103,0
project-based-learning,218291,0,0.0
awesome-selfhosted,217348,1,0
vue,208394,249,0.0
Python,197473,0,0
javascript-algorithms,190170,0,0.0
tensorflow,188126,213,0
linux,188101,0,0.0
You-Dont-Know-JS,181067,0,0
CS-Notes,178945,0,0.0
ohmyzsh,176205,0,0
computer-science,175495,0,0.0
AutoGPT,171697,42,0
bootstrap,171440,89,0.0
flutter,168750,7,0
vscode,167573,156,0.0
gitignore,164509,0,0
Python-100-Days,161024,0,0.0
the-book-of-secret-knowledge,158610,0,0
the-art-of-command-line,154769,0,0.0
JavaGuide,148205,0,0
stable-diffusion-webui,148100,27,0.0
javascript,146148,0,0
transformers,139824,179,0.0
awesome-go,138469,0,0
youtube-dl,134296,341,0.0
next.js,129531,1000,0
ollama,128069,115,0.0
fucking-algorithm,126878,1,0
go,125968,0,0.0
30-seconds-of-code,122714,11,0
tech-interview-handbook,121956,0,0.0
awesome-chatgpt-prompts,120667,0,0
react-native,120660,375,0.0
Microsoft-Activation-Scripts,119958,19,0
scrcpy,117860,44,0.0
electron,115538,1000,0
PowerToys,114954,109,0.0
kubernetes,113217,722,0
free-programming-books-zh_CN,112673,3,0.0
d3,109847,194,0
node,109745,429,0.0
hello-algo,109173,9,0
axios,106354,87,0.5
three.js,104421,165,1
create-react-app,103103,83,1.0
TypeScript,102279,206,1
nodebestpractices,101827,0,1.0
deno,101820,311,1
rust,101392,135,1.0
yt-dlp,101065,104,1
langchain,101051,806,2.0
HelloGitHub,98686,51,3
terminal,97094,128,5.0
angular,96989,407,7
material-ui,94823,521,8.0
godot,94130,58,9
ant-design,93753,690,10.0
excalidraw,92754,13,11
clean-code-javascript,92489,0,10.0
free-for-dev,92363,0,9
papers-we-love,90978,0,8.0
java-design-patterns,90783,0,7
frp,90647,101,8.0
iptv,90365,0,7
thefuck,90125,17,8.0
puppeteer,89776,494,9
tauri,89634,1000,10.0
Awesome-Hacking,89096,0,9
vue-element-admin,88720,49,10.0
pytorch,87056,58,11
DeepSeek-V3,86786,0,10.0
neovim,86346,41,11
every-programmer-should-know,86218,0,10.0
storybook,85891,1000,11
tailwindcss,85804,267,12.0
Web-Dev-For-Beginners,85094,0,11
rustdesk,82453,27,12.0
django,82399,0,11
nvm,82353,68,12.0
app-ideas,82220,0,11
bitcoin,82093,54,12.0
svelte,81466,393,13
animate.css,81331,22,15.0
ui,81278,37,17
realworld,81219,0,15.0
fastapi,81141,200,17
NextChat,81061,76,18.0
opencv,80669,65,19
gin,80396,26,20.5
awesome-mac,79766,10,19
laravel,79677,182,20.5
mall,79138,3,19
DeepSeek-R1,78964,0,18.0
FiraCode,78192,29,19
hugo,78159,315,20.5
supabase,77732,19,19
models,77391,48,20.5
advanced-java,77045,1,19
open-webui,76964,92,20.5
whisper,76652,12,19
core,76649,1000,20.5
bun,76327,178,22
spring-boot,76212,300,24.0
mermaid,75926,142,26
LeetCodeAnimation,75705,0,24.0
v2rayN,75294,233,26
manim,75129,13,24.0
llama.cpp,74849,1000,26
Font-Awesome,74672,59,26.5
json-server,73666,38,27
netdata,73544,107,27.0
awesome-interview-questions,73282,0,27
awesome-vue,72585,0,26.5
gpt4all,72545,37,27
awesome-for-beginners,71764,0,26.5
elasticsearch,71680,171,27
github-readme-stats,71548,0,26.5
ML-For-Beginners,71162,0,26
generative-ai-for-beginners,71103,0,24.0
funNLP,71082,0,22
vite,70808,522,24.0
dify,70104,119,26
code-server,69908,174,26.5
stable-diffusion,69645,0,26
Front-End-Checklist,69589,1,24.0
nest,69520,112,26
playwright,69515,141,26.5
moby,69207,212,27
HowToCook,69147,3,26.5
flask,68857,35,27
node,68564,43,27.0
system-design-101,68518,0,27
screenshot-to-code,68458,0,26.5
reveal.js,68382,47,27
hoppscotch,68331,64,27.0
cs-video-courses,68157,0,27
swift,68140,57,27.0
