Repositório,Estrelas,Data da última release,Dias desde última release,Mediana
developer-roadmap,308754,2023-01-05T18:38:46Z,"776 days, 19:55:46.505296",776
react,232453,2024-12-05T21:05:14Z,"76 days, 17:29:18.505296",426.0
awesome-selfhosted,217321,2023-08-22T13:54:23Z,"548 days, 0:40:09.505296",548
vue,208394,2023-12-24T15:02:39Z,"423 days, 23:31:53.505296",485.5
tensorflow,188124,2024-10-24T23:51:36Z,"118 days, 14:42:56.505296",423
AutoGPT,171694,2025-02-20T15:03:13Z,"-1 day, 23:31:19.505296",270.5
bootstrap,171433,2024-02-20T15:19:46Z,"365 days, 23:14:46.505296",365
flutter,168751,2023-10-20T15:41:27Z,"488 days, 22:53:05.505296",394.0
vscode,167567,2025-02-13T18:04:51Z,"6 days, 20:29:41.505296",365
stable-diffusion-webui,148097,2025-02-09T08:00:10Z,"11 days, 6:34:22.505296",241.5
transformers,139808,2025-02-17T15:19:57Z,"2 days, 23:14:35.505296",118
youtube-dl,134295,2021-12-16T19:01:08Z,"1161 days, 19:33:24.505296",241.5
next.js,129524,2025-02-11T02:32:54Z,"9 days, 12:01:38.505296",118
ollama,128038,2025-02-14T08:25:18Z,"6 days, 6:09:14.505296",97.0
fucking-algorithm,126877,2021-10-27T12:20:32Z,"1212 days, 2:14:00.505296",118
30-seconds-of-code,122711,2025-01-04T12:05:58Z,"47 days, 2:28:34.505296",97.0
react-native,120655,2025-02-19T15:59:52Z,22:34:40.505296,76
Microsoft-Activation-Scripts,119847,2025-02-13T17:46:23Z,"6 days, 20:48:09.505296",61.5
scrcpy,117848,2024-12-09T22:14:45Z,"72 days, 16:19:47.505296",72
electron,115537,2025-02-13T00:26:52Z,"7 days, 14:07:40.505296",59.5
PowerToys,114951,2025-01-28T18:44:28Z,"22 days, 19:50:04.505296",47
kubernetes,113215,2025-02-13T09:39:03Z,"7 days, 4:55:29.505296",34.5
free-programming-books-zh_CN,112673,2018-11-05T05:21:03Z,"2299 days, 9:13:29.505296",47
d3,109845,2024-03-12T22:18:19Z,"344 days, 16:16:13.505296",59.5
node,109741,2025-02-13T17:42:48Z,"6 days, 20:51:44.505296",47
