Repositório,Estrelas,Linguagem Primária,Linguagem Primária é Top-10?,Percentual que utiliza linguagem popular
freeCodeCamp,410244,TypeScript,Sim,1.0
free-programming-books,350779,HTML,Não,0.5
awesome,347899,Sem informação,Sem informação,0.5
build-your-own-x,337429,Markdown,Não,0.3333333333333333
public-apis,327994,Python,Sim,0.5
coding-interview-university,312122,Sem informação,Sem informação,0.5
developer-roadmap,308758,TypeScript,Sim,0.6
system-design-primer,289707,Python,Sim,0.6666666666666666
996.ICU,270281,Sem informação,Sem informação,0.6666666666666666
awesome-python,234633,Python,Sim,0.7142857142857143
react,232454,JavaScript,Sim,0.75
project-based-learning,218275,Sem informação,Sem informação,0.75
awesome-selfhosted,217325,Sem informação,Sem informação,0.75
vue,208394,TypeScript,Sim,0.7777777777777778
Python,197470,Python,Sim,0.8
javascript-algorithms,190168,JavaScript,Sim,0.8181818181818182
tensorflow,188124,C++,Sim,0.8333333333333334
linux,188088,C,Sim,0.8461538461538461
You-Dont-Know-JS,181064,Sem informação,Sem informação,0.8461538461538461
CS-Notes,178945,Sem informação,Sem informação,0.8461538461538461
ohmyzsh,176201,Shell,Sim,0.8571428571428571
computer-science,175488,Sem informação,Sem informação,0.8571428571428571
AutoGPT,171693,Python,Sim,0.8666666666666667
bootstrap,171434,JavaScript,Sim,0.875
flutter,168751,Dart,Não,0.8235294117647058
vscode,167567,TypeScript,Sim,0.8333333333333334
gitignore,164506,Sem informação,Sem informação,0.8333333333333334
Python-100-Days,161024,Jupyter Notebook,Não,0.7894736842105263
the-book-of-secret-knowledge,158593,Sem informação,Sem informação,0.7894736842105263
the-art-of-command-line,154768,Sem informação,Sem informação,0.7894736842105263
JavaGuide,148205,Java,Sim,0.8
stable-diffusion-webui,148098,Python,Sim,0.8095238095238095
javascript,146149,JavaScript,Sim,0.8181818181818182
transformers,139809,Python,Sim,0.8260869565217391
awesome-go,138459,Go,Sim,0.8333333333333334
youtube-dl,134295,Python,Sim,0.84
next.js,129525,JavaScript,Sim,0.8461538461538461
ollama,128040,Go,Sim,0.8518518518518519
fucking-algorithm,126877,Markdown,Não,0.8214285714285714
go,125965,Go,Sim,0.8275862068965517
