Repositório,Estrelas,Issues Totais,Issues fechadas,Razão de issues fechadas,Mediana
freeCodeCamp,410245,18922,18755,0.9911742944720431,0.9911742944720431
free-programming-books,350782,1160,1131,0.975,0.9830871472360215
awesome,347907,347,335,0.9654178674351584,0.975
build-your-own-x,337465,728,538,0.739010989010989,0.9702089337175792
public-apis,327998,651,603,0.9262672811059908,0.9654178674351584
coding-interview-university,312122,510,458,0.8980392156862745,0.9458425742705746
developer-roadmap,308761,2664,2527,0.9485735735735735,0.9485735735735735
system-design-primer,289715,319,87,0.2727272727272727,0.9374204273397821
996.ICU,270281,Sem dados,Sem dados,Sem dados,0.9374204273397821
awesome-python,234639,Sem dados,Sem dados,Sem dados,0.9374204273397821
react,232457,13522,12746,0.9426120396391067,0.9426120396391067
project-based-learning,218282,190,78,0.4105263157894737,0.9344396603725487
awesome-selfhosted,217328,803,803,1.0,0.9426120396391067
vue,208395,10018,9664,0.9646636055100819,0.9455928066063402
Python,197471,1556,1492,0.9588688946015425,0.9485735735735735
javascript-algorithms,190168,356,227,0.6376404494382022,0.9455928066063402
tensorflow,188125,40247,39437,0.9798742763435784,0.9485735735735735
linux,188093,Sem dados,Sem dados,Sem dados,0.9485735735735735
You-Dont-Know-JS,181064,936,855,0.9134615384615384,0.9455928066063402
CS-Notes,178945,596,448,0.7516778523489933,0.9426120396391067
ohmyzsh,176202,4892,4759,0.9728127555192151,0.9455928066063402
computer-science,175487,642,628,0.9781931464174455,0.9485735735735735
AutoGPT,171694,3141,2973,0.9465138490926457,0.9475437113331096
bootstrap,171437,22617,22118,0.9779369500817969,0.9485735735735735
flutter,168750,103471,90309,0.872795275971045,0.9475437113331096
vscode,167568,190634,181985,0.9546303387643338,0.9485735735735735
gitignore,164507,Sem dados,Sem dados,Sem dados,0.9485735735735735
Python-100-Days,161024,660,114,0.17272727272727273,0.9475437113331096
the-book-of-secret-knowledge,158599,Sem dados,Sem dados,Sem dados,0.9475437113331096
the-art-of-command-line,154769,254,136,0.5354330708661418,0.9465138490926457
JavaGuide,148205,1072,1008,0.9402985074626866,0.9445629443658762
stable-diffusion-webui,148098,7746,5446,0.7030725535760393,0.9426120396391067
javascript,146149,1347,1252,0.9294729027468448,0.9414552735508966
transformers,139812,16684,15694,0.9406617118197075,0.9406617118197075
awesome-go,138462,670,665,0.9925373134328358,0.9416368757294071
youtube-dl,134295,26688,22998,0.8617356115107914,0.9406617118197075
next.js,129526,22396,19696,0.879442757635292,0.940480109641197
ollama,128052,6042,4688,0.7759020191989408,0.9402985074626866
fucking-algorithm,126877,881,877,0.9954597048808173,0.940480109641197
go,125966,65537,56381,0.8602926591085951,0.9402985074626866
30-seconds-of-code,122711,296,296,1.0,0.940480109641197
tech-interview-handbook,121954,107,70,0.6542056074766355,0.9402985074626866
awesome-chatgpt-prompts,120666,Sem dados,Sem dados,Sem dados,0.9402985074626866
react-native,120659,26654,26057,0.9776018608839199,0.940480109641197
Microsoft-Activation-Scripts,119900,572,570,0.9965034965034965,0.9406617118197075
scrcpy,117855,5221,3016,0.577667113579774,0.940480109641197
electron,115538,20545,19681,0.9579459722560234,0.9406617118197075
PowerToys,114952,31545,25742,0.8160405769535584,0.940480109641197
kubernetes,113218,46668,44785,0.959651152824205,0.9406617118197075
free-programming-books-zh_CN,112673,Sem dados,Sem dados,Sem dados,0.9406617118197075
d3,109845,2224,2215,0.9959532374100719,0.9416368757294071
node,109741,18786,17158,0.9133397210688811,0.9406617118197075
hello-algo,109171,253,235,0.9288537549407114,0.940480109641197
axios,106354,4757,4196,0.8820685305865041,0.9402985074626866
three.js,104418,12842,12421,0.9672169444011837,0.940480109641197
create-react-app,103104,8371,6558,0.7834189463624418,0.9402985074626866
TypeScript,102277,41702,36180,0.8675842885233322,0.9348857051047657
nodebestpractices,101827,325,284,0.8738461538461538,0.9294729027468448
deno,101815,12090,10048,0.831100082712986,0.9291633288437782
rust,101391,56629,46648,0.8237475498419538,0.9288537549407114
yt-dlp,101049,8698,7198,0.8275465624281444,0.927560518023351
langchain,101045,8208,7864,0.9580896686159844,0.9288537549407114
