Repositório,Estrelas,PR's mergeadas,url
freeCodeCamp,415993,24736,https://github.com/freeCodeCamp/freeCodeCamp
build-your-own-x,369566,140,https://github.com/codecrafters-io/build-your-own-x
awesome,355318,665,https://github.com/sindresorhus/awesome
free-programming-books,354659,6797,https://github.com/EbookFoundation/free-programming-books
public-apis,335285,1872,https://github.com/public-apis/public-apis
coding-interview-university,314156,415,https://github.com/jwasham/coding-interview-university
developer-roadmap,313437,3424,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,295879,199,https://github.com/donnemartin/system-design-primer
996.ICU,270488,1068,https://github.com/996icu/996.ICU
awesome-python,239858,543,https://github.com/vinta/awesome-python
react,234335,11581,https://github.com/facebook/react
awesome-selfhosted,224014,2393,https://github.com/awesome-selfhosted/awesome-selfhosted
project-based-learning,223799,182,https://github.com/practical-tutorials/project-based-learning
vue,208669,1136,https://github.com/vuejs/vue
Python,199284,2931,https://github.com/TheAlgorithms/Python
javascript-algorithms,190887,302,https://github.com/trekhleb/javascript-algorithms
tensorflow,189302,31074,https://github.com/tensorflow/tensorflow
You-Dont-Know-JS,181686,368,https://github.com/getify/You-Dont-Know-JS
CS-Notes,179699,374,https://github.com/CyC2018/CS-Notes
computer-science,177928,287,https://github.com/ossu/computer-science
ohmyzsh,177507,3311,https://github.com/ohmyzsh/ohmyzsh
AutoGPT,174289,2728,https://github.com/Significant-Gravitas/AutoGPT
bootstrap,172113,8876,https://github.com/twbs/bootstrap
vscode,169752,32797,https://github.com/microsoft/vscode
flutter,169649,41696,https://github.com/flutter/flutter
gitignore,165597,1579,https://github.com/github/gitignore
the-book-of-secret-knowledge,162763,122,https://github.com/trimstray/the-book-of-secret-knowledge
the-art-of-command-line,155490,317,https://github.com/jlevy/the-art-of-command-line
stable-diffusion-webui,150887,1874,https://github.com/AUTOMATIC1111/stable-diffusion-webui
JavaGuide,149113,1153,https://github.com/Snailclimb/JavaGuide
javascript,146490,811,https://github.com/airbnb/javascript
transformers,142671,15071,https://github.com/huggingface/transformers
awesome-go,141492,3411,https://github.com/avelino/awesome-go
ollama,136620,2175,https://github.com/ollama/ollama
youtube-dl,135030,1642,https://github.com/ytdl-org/youtube-dl
next.js,130918,21576,https://github.com/vercel/next.js
fucking-algorithm,127529,238,https://github.com/labuladong/fucking-algorithm
tech-interview-handbook,125113,467,https://github.com/yangshun/tech-interview-handbook
30-seconds-of-code,123317,823,https://github.com/Chalarangelo/30-seconds-of-code
awesome-chatgpt-prompts,122748,159,https://github.com/f/awesome-chatgpt-prompts
react-native,121457,902,https://github.com/facebook/react-native
scrcpy,120303,110,https://github.com/Genymobile/scrcpy
PowerToys,117148,5205,https://github.com/microsoft/PowerToys
electron,116282,22183,https://github.com/electron/electron
kubernetes,114276,61160,https://github.com/kubernetes/kubernetes
free-programming-books-zh_CN,113298,282,https://github.com/justjavac/free-programming-books-zh_CN
hello-algo,111431,918,https://github.com/krahets/hello-algo
node,110539,10035,https://github.com/nodejs/node
d3,110314,492,https://github.com/d3/d3
yt-dlp,107104,2616,https://github.com/yt-dlp/yt-dlp
axios,106665,955,https://github.com/axios/axios
three.js,105591,13908,https://github.com/mrdoob/three.js
langchain,105268,13585,https://github.com/langchain-ai/langchain
TypeScript,103932,14579,https://github.com/microsoft/TypeScript
create-react-app,103124,1949,https://github.com/facebook/create-react-app
rust,102578,62435,https://github.com/rust-lang/rust
deno,102523,12569,https://github.com/denoland/deno
nodebestpractices,102288,765,https://github.com/goldbergyoni/nodebestpractices
terminal,97645,4052,https://github.com/microsoft/terminal
angular,97453,3720,https://github.com/angular/angular
excalidraw,97024,3599,https://github.com/excalidraw/excalidraw
godot,95955,36995,https://github.com/godotengine/godot
material-ui,95301,20206,https://github.com/mui/material-ui
ant-design,94208,15200,https://github.com/ant-design/ant-design
free-for-dev,93854,2675,https://github.com/ripienaar/free-for-dev
clean-code-javascript,92745,149,https://github.com/ryanmcdermott/clean-code-javascript
frp,92445,657,https://github.com/fatedier/frp
papers-we-love,92232,436,https://github.com/papers-we-love/papers-we-love
iptv,92135,6547,https://github.com/iptv-org/iptv
thefuck,91377,481,https://github.com/nvbn/thefuck
tauri,91301,4914,https://github.com/tauri-apps/tauri
java-design-patterns,91248,1488,https://github.com/iluwatar/java-design-patterns
puppeteer,90308,5211,https://github.com/puppeteer/puppeteer
dify,90279,5501,https://github.com/langgenius/dify
vue-element-admin,89083,311,https://github.com/PanJiaChen/vue-element-admin
pytorch,88787,6072,https://github.com/pytorch/pytorch
neovim,88495,15045,https://github.com/neovim/neovim
open-webui,88491,1946,https://github.com/open-webui/open-webui
Web-Dev-For-Beginners,87183,499,https://github.com/microsoft/Web-Dev-For-Beginners
tailwindcss,87020,2894,https://github.com/tailwindlabs/tailwindcss
rustdesk,86522,3399,https://github.com/rustdesk/rustdesk
storybook,86330,10959,https://github.com/storybookjs/storybook
ui,85030,547,https://github.com/shadcn-ui/ui
nvm,83837,726,https://github.com/nvm-sh/nvm
django,83090,9633,https://github.com/django/django
fastapi,83050,2608,https://github.com/fastapi/fastapi
app-ideas,82853,149,https://github.com/florinpop17/app-ideas
bitcoin,82827,15066,https://github.com/bitcoin/bitcoin
NextChat,82600,877,https://github.com/ChatGPTNextWeb/NextChat
svelte,82156,5600,https://github.com/sveltejs/svelte
awesome-mac,81814,960,https://github.com/jaywcjlove/awesome-mac
opencv,81594,12835,https://github.com/opencv/opencv
animate.css,81545,315,https://github.com/animate-css/animate.css
gin,81525,1054,https://github.com/gin-gonic/gin
realworld,81415,433,https://github.com/gothinkster/realworld
supabase,80623,11643,https://github.com/supabase/supabase
laravel,80527,1619,https://github.com/laravel/laravel
whisper,79665,110,https://github.com/openai/whisper
hugo,79354,2835,https://github.com/gohugoio/hugo
FiraCode,78663,136,https://github.com/tonsky/FiraCode
core,77963,71500,https://github.com/home-assistant/core
generative-ai-for-beginners,77936,329,https://github.com/microsoft/generative-ai-for-beginners
